Id_block,valence,arousal,dominance,anger,disgust,fear,joy,sadness,surprise,trust,anticipation
110,0.5999597384522894,0.46043794162559065,0.5317146600379512,0.047375,0.13683565380147933,0.11312499999999999,0.12633960940623695,0.09924722054151591,0.090875,0.27227876179293603,0.21550150091333437
111,0.6970166306598253,0.38529791810781955,0.5990150942153587,0.0,0.0,0.0,0.31294337504997916,0.0,0.089,0.264,0.0
112,0.5259803334228133,0.4040860690919329,0.47716391791023405,0.21174999999999997,0.039,0.0665,0.0,0.0585,0.0,0.18175,0.20248902225045093
113,0.5663615868660276,0.5236759818660219,0.5726668705070976,0.22993622423747845,0.09209601124355307,0.2350364566675737,0.18821460940623697,0.1531436507757934,0.0,0.204125,0.034125
115,0.1925276326713793,0.4707374567061802,0.187116505350643,0.516,0.4289651228100695,0.0,0.0,0.0,0.0,0.0,0.0
116,0.215768437291202,0.423033531670477,0.2028556685383526,0.0,0.0,0.0,0.516,0.0,0.0,0.0,0.0
117,0.7365043428172544,0.42284497037953217,0.6291264656078137,0.005625,0.0,0.00775,0.35233960940623693,0.0,0.0215,0.2186255582839441,0.17775
118,0.7409171991676564,0.5253405398470303,0.681442903851862,0.0,0.0,0.0,0.30759708905457467,0.0,0.1078,0.3773910303990679,0.2484
119,0.6020196865169843,0.6010775668817698,0.6696276578269084,0.2689231527459532,0.21278966656863912,0.2207209503212389,0.18749999999999997,0.19744971654148286,0.17066257422405914,0.28414983744554184,0.1505
120,0.188,0.558,0.259,0.441,0.4449999999999999,0.0,0.0,0.0,0.0,0.0,0.0
121,0.7796639393725157,0.5193110552117863,0.6117072422728396,0.0,0.0,0.0585,0.48148071165409917,0.0,0.0,0.28316681698792256,0.4170429198753345
122,0.4931945610036196,0.5104235791407348,0.4758227052351289,0.0606201581440627,0.11006326213591065,0.13742857142857143,0.21738812503569935,0.16747946589681667,0.02457142857142857,0.2091052442384169,0.12828571428571428
123,0.6333086436362504,0.4198905564757111,0.6050778625238837,0.129,0.10466237492896527,0.0,0.082,0.0,0.0,0.49917576781685885,0.082
124,0.7306954955210873,0.46997350230285245,0.6257704926400123,0.0,0.086,0.068,0.30434329872661336,0.0,0.0328,0.23280000000000003,0.4016
125,0.7493235932516958,0.4614794246185704,0.5539642484327365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6356675879723676
126,0.6025913080734338,0.5373881412355084,0.6838581427678017,0.1785,0.1135,0.0,0.0,0.0,0.0,0.3142543079911105,0.0
