id	als	fr	de	en	valence	arousal	dominance	anger	anticipation	disgust	fear	joy	sadness	surprise	trust	NRC_cosine	FEEL_cosine	avg_cosine	nb_checks
114	Schulhaus;Schüalhüs	école	Schulhaus;Schule	schoolhouse;school	0.6676771558627984	0.4107591056350719	0.6310436331369346								0.531	0.939956602516451	1.0	0.9699783012582256	0
115	Schieler;Schüal;Schule;Schuel;Schuele;Schual;Schüler;Schüel	écolier;école	Schulhaus;Schule;Schüler	schoolhouse;school;schoolboy	0.6689664693653211	0.4034146413737176	0.5605700150101591								0.531	0.912996850334076	1.0	0.956498425167038	0
116	itrage	enregistrer	sparen	save	0.7329712784404759	0.444488446871471	0.654411407059406					0.2			0.562	0.9997015422429848	0.5871458717369259	0.7934237069899553	0
117	ufnämme;ufnamme	admettre;relever;enregistrer;recueillir	sparen	garner;reap;gather;save	0.6491368629139664	0.4569144966036611	0.5919497970722636					0.2			0.562	0.8891461234213323	0.5871458717369259	0.7381459975791291	0
118	Sparren;spaare;Sparre;spar;Spare;spare	épargner;enregistrer	sparen	save	0.7526753128891448	0.4415678884057591	0.6690920809470505					0.2			0.562	0.999936599031919	0.5871458717369259	0.7935412353844224	0
119	Guten;güt;guete;Güeta;Güeter;Gut;Güte;güet;gueta;Gueter;güeta;Güate;Gueten;Güeten;gut;Güet;gueti;guet;Güete;güete;Gute;Gueti;Guter;Güata;gueten;Guet;Guete;Güter;gueter;güeter;Güat;giüet;güeti	gooood;bien;satisfaisant;bon	Gut;gut;erfüllend;befriedigend	gooood;fine;fulfilling;satisfying	0.8496361744517235	0.4974327231143904	0.6809413474879623					0.6777168752498955				0.9586929646387844	0.3698218476416338	0.664257406140209	0
120	Retter	sauveur;messie	Retter	messiah;savior	0.8716365884731243	0.5264098050498882	0.8026082471503057					0.543				0.9577741089710692		0.9577741089710692	0
121	Heiligtum;Heiligdum	sanctuaire;relique	Heiligtum	sanctuary;relic	0.7962721845766446	0.2954953285054298	0.5799200232570215		0.461			0.541			0.703	0.8494594904803744	0.2569960854066258	0.5532277879435001	0
122	Heiligi;Heilig;heilige;Heiligen;Heiliger;heiligi;heilich;heil;heiligen;Heiliga;heilig;heiliger;Heilige;heilijeh;heiliga;Häiliger	sanctifier;sacré;saint	heiligen;heilig;Heilige	sanctify;holy;sacred	0.7752312202323515	0.306516452893079	0.7781768273161963		0.391			0.359	0.108	0.336	0.672	0.8439418968281537	0.4243170256728368	0.6341294612504953	0
123	empfehlen;empfehl;empfehle;Empfehle;empfohle	recommander;suggérer;saluer;conseiller	empfehlen;empfohlen	recommend;commend;advisor	0.7568824074034737	0.4898165602197717	0.6650137478294663					0.266			0.5761775991620081	0.9375309972857346	0.6314434950345187	0.7844872461601267	0
124	root;roote;rooti	recommander	empfehlen	recommend	0.7878130921936306	0.509796338352675	0.6598192304242211					0.266			0.5809081994275789	0.9773624022157068	0.5266971500701549	0.7520297761429309	0
