,Id_block,valence_als,arousal_als,dominance_als,anger_als,disgust_als,fear_als,joy_als,sadness_als,surprise_als,trust_als,anticipation_als,valence_fr,arousal_fr,dominance_fr,anger_fr,disgust_fr,fear_fr,joy_fr,sadness_fr,surprise_fr,trust_fr,anticipation_fr
181,193,0.440,0.567,0.558,0.344,0.207,0.187,0.169,0.161,0.000,0.000,0.000,0.467,0.629,0.607,0.000,0.000,0.112,0.000,0.000,0.000,0.336,0.293
182,194,0.702,0.534,0.576,0.000,0.000,0.000,0.411,0.000,0.152,0.136,0.479,0.675,0.427,0.497,0.035,0.000,0.000,0.343,0.031,0.077,0.340,0.151
183,195,0.668,0.488,0.589,0.000,0.000,0.000,0.365,0.000,0.194,0.091,0.302,0.754,0.590,0.635,0.000,0.000,0.000,0.363,0.000,0.176,0.523,0.321
184,196,0.657,0.455,0.611,0.035,0.136,0.047,0.000,0.000,0.000,0.357,0.000,0.613,0.297,0.694,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.258
185,197,0.571,0.581,0.532,0.167,0.154,0.135,0.401,0.144,0.000,0.299,0.143,0.812,0.373,0.550,0.000,0.000,0.000,0.591,0.000,0.000,0.000,0.000
186,199,0.719,0.515,0.647,0.025,0.063,0.047,0.460,0.000,0.000,0.000,0.000,0.570,0.497,0.503,0.137,0.099,0.141,0.091,0.112,0.036,0.280,0.237
187,200,0.443,0.459,0.453,0.202,0.047,0.060,0.069,0.092,0.000,0.217,0.000,0.465,0.381,0.403,0.097,0.042,0.000,0.000,0.150,0.000,0.242,0.103
188,201,0.672,0.447,0.629,0.000,0.000,0.034,0.340,0.044,0.036,0.246,0.216,0.713,0.354,0.487,0.008,0.000,0.000,0.127,0.000,0.036,0.368,0.189
189,202,0.664,0.413,0.641,0.000,0.000,0.234,0.164,0.227,0.000,0.395,0.000,0.541,0.353,0.543,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.406
190,203,0.599,0.501,0.623,0.125,0.056,0.112,0.133,0.057,0.000,0.243,0.052,0.475,0.483,0.477,0.142,0.159,0.000,0.091,0.104,0.134,0.202,0.068
191,205,0.729,0.453,0.555,0.000,0.000,0.000,0.469,0.000,0.000,0.436,0.414,0.652,0.379,0.623,0.000,0.000,0.000,0.391,0.000,0.000,0.000,0.258
192,206,0.583,0.490,0.563,0.000,0.000,0.000,0.000,0.000,0.000,0.245,0.523,0.292,0.558,0.433,0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000
193,207,0.612,0.571,0.667,0.259,0.119,0.200,0.256,0.202,0.036,0.342,0.204,0.801,0.401,0.709,0.000,0.000,0.000,0.258,0.000,0.000,0.364,0.167
194,208,0.766,0.432,0.610,0.000,0.000,0.000,0.393,0.000,0.000,0.000,0.158,0.698,0.420,0.550,0.187,0.000,0.245,0.167,0.000,0.000,0.242,0.000
195,209,0.570,0.531,0.577,0.049,0.097,0.083,0.107,0.139,0.068,0.123,0.462,0.719,0.537,0.577,0.000,0.000,0.000,0.189,0.083,0.145,0.277,0.293
196,210,0.694,0.383,0.691,0.025,0.063,0.047,0.000,0.000,0.000,0.388,0.000,0.708,0.331,0.580,0.000,0.000,0.000,0.295,0.000,0.000,0.000,0.258
197,211,0.688,0.493,0.673,0.019,0.047,0.035,0.218,0.000,0.160,0.291,0.178,0.875,0.536,0.753,0.000,0.000,0.000,0.402,0.000,0.000,0.293,0.000
198,212,0.750,0.521,0.662,0.025,0.063,0.047,0.415,0.000,0.000,0.224,0.211,0.562,0.374,0.627,0.000,0.000,0.000,0.160,0.150,0.000,0.467,0.164
199,213,0.592,0.526,0.515,0.000,0.068,0.111,0.311,0.106,0.000,0.144,0.137,0.719,0.451,0.527,0.068,0.081,0.000,0.182,0.000,0.281,0.336,0.128
200,214,0.502,0.371,0.408,0.000,0.092,0.031,0.121,0.099,0.000,0.096,0.181,0.323,0.428,0.437,0.176,0.190,0.208,0.000,0.249,0.000,0.182,0.131
201,215,0.535,0.267,0.413,0.000,0.000,0.156,0.182,0.349,0.073,0.206,0.128,0.791,0.380,0.489,0.000,0.000,0.000,0.379,0.000,0.073,0.344,0.128
202,216,0.755,0.566,0.674,0.000,0.000,0.000,0.379,0.000,0.000,0.353,0.000,0.795,0.622,0.768,0.000,0.000,0.000,0.268,0.000,0.000,0.406,0.000
203,217,0.673,0.449,0.599,0.019,0.047,0.094,0.169,0.000,0.000,0.297,0.293,0.726,0.504,0.674,0.059,0.038,0.060,0.293,0.000,0.085,0.476,0.236
204,218,0.469,0.483,0.523,0.109,0.182,0.107,0.093,0.108,0.000,0.204,0.105,0.423,0.438,0.414,0.137,0.232,0.232,0.093,0.267,0.000,0.121,0.105
205,219,0.579,0.408,0.627,0.076,0.188,0.141,0.000,0.000,0.000,0.000,0.000,0.683,0.333,0.618,0.000,0.000,0.000,0.000,0.000,0.000,0.727,0.000
